"filename", "language", "TypeScript", "JSON", "JSON with Comments", "YAML", "HTML", "Markdown", "Python", "pip requirements", "JavaScript", "Rust", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Ryan\Documents\SpEd Packet Studio\README.md", "Markdown", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\__main__.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\router.py", "Python", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\routes\health.py", "Python", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\api\routes\projects.py", "Python", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 33, 144
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\config.py", "Python", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\base.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\initialize.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\runner.py", "Python", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\v0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\v0002_sprint_one.py", "Python", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\migrations\versions\v0003_goal_summary.py", "Python", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\database\session.py", "Python", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\generators\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\generators\pdf.py", "Python", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\models\domain.py", "Python", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 15, 101
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\models\mixins.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\schemas\projects.py", "Python", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 60, 214
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\schemas\system.py", "Python", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\services\autosave.py", "Python", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\services\projects.py", "Python", 0, 0, 0, 0, 0, 0, 1317, 0, 0, 0, 0, 0, 237, 109, 1663
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\backend\tests\test_projects.py", "Python", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 14, 201
"c:\Users\Ryan\Documents\SpEd Packet Studio\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Ryan\Documents\SpEd Packet Studio\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ryan\Documents\SpEd Packet Studio\pnpm-lock.yaml", "YAML", 0, 0, 0, 1256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 1596
"c:\Users\Ryan\Documents\SpEd Packet Studio\pnpm-workspace.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ryan\Documents\SpEd Packet Studio\scripts\dev.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\capabilities\default.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
